transaction_id,listing_id,buyer_name,buyer_email,price,date
1,1,Luke Skywalker,luke.skywalker@tatooine.com,2808.44,2025-09-08
2,2,Darth Vader,darth.vader@empire.gov,1098702.57,2026-03-13
3,3,Leia Organa,leia.organa@alderaan.net,2383.68,2026-05-11
4,8,Han Solo,han.solo@millenniumfalcon.com,1925.92,2026-04-02
5,11,Yoda,yoda@dagobah.sw,2817.90,2026-06-06
6,17,Obi-Wan Kenobi,obiwan.kenobi@jedimaster.org,811006.45,2026-05-05
7,20,Padmé Amidala,padme.amidala@naboo.gov,804127.60,2026-06-13
8,21,Anakin Skywalker,anakin.skywalker@chosenone.com,882370.20,2026-02-05
9,22,Ahsoka Tano,ahsoka.tano@clonewars.net,4253.10,2026-01-16
10,26,Rey Palpatine,rey@jakku.space,6101.89,2026-05-24
11,27,Kylo Ren,kylo.ren@firstorder.com,4455.49,2025-11-11
12,30,Finn,finn@resistance.org,5642.48,2025-08-13
13,32,Poe Dameron,poe.dameron@blackleader.net,7495.92,2026-03-17
14,34,Mace Windu,mace.windu@council.jedi,170414.73,2025-12-10
15,36,Qui-Gon Jinn,quigon.jinn@livingforce.com,525595.06,2026-05-28
16,37,Jar Jar Binks,jarbinks@naboo.sw,5738.95,2025-08-12
17,38,Lando Calrissian,lando@cloudcity.biz,372841.07,2025-08-26
18,41,Chewbacca,chewie@millenniumfalcon.com,4044.78,2026-02-28
19,45,C-3PO,c3po@protocol.droid,4926.46,2026-01-24
20,46,R2-D2,r2d2@astromech.net,4962.69,2025-07-27
21,48,BB-8,bb8@resistance.org,5149.55,2025-09-14
22,49,Grand Moff Tarkin,tarkin@deathstar.empire,484926.83,2025-10-15
23,52,Boba Fett,boba.fett@mandalorian.com,813070.91,2025-10-21
24,53,Jango Fett,jango.fett@kamino.clones,8917.71,2026-05-24
25,56,Captain Phasma,phasma@firstorder.net,7033.97,2026-01-03
26,57,General Grievous,grievous@separatist.org,154960.42,2026-04-14
27,58,Count Dooku,dooku@serenno.com,2158.94,2026-03-15
28,66,Darth Maul,maul@nightsisters.net,4586.47,2026-05-10
29,67,Jyn Erso,jyn.erso@rogueone.org,158216.71,2025-09-14
30,68,Cassian Andor,cassian.andor@rebellion.com,913971.99,2025-12-19
31,69,K-2SO,k2so@imperial.droid,5411.68,2025-10-23
32,70,Chirrut Îmwe,chirrut@whills.net,5078.89,2026-04-26
33,72,Baze Malbus,baze@guardians.com,5762.28,2026-03-17
34,73,Saw Gerrera,saw@partisans.org,1320.42,2026-04-26
35,77,Wedge Antilles,wedge@roguesquadron.net,827579.87,2025-08-13
